Criação da handle do arquivo XSV bem sucedida.
Definição do separador na handle do arquivo XSV bem sucedida.
Definição do arquivo de input da handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Transoformação da lista de colunas em conjunto de colunas bem sucedida.
DENOM_SOCIAL;DENOM_SOCIAL;SIT;CD_CVM;SETOR_ATIV
PRODUTORES ENERGETICOS DE MANSO SA;PRODUTORES ENERGETICOS DE MANSO SA;ATIVO;19232;ENERGIA ELÉTRICA
PRODUTOS QUIMICOS ELEKEIROZ SA;PRODUTOS QUIMICOS ELEKEIROZ SA;CANCELADA;9750;PETROQUíMICOS E BORRACHA
PROFARMA DISTRIB. PRODUTOS FARMACEUTICOS;PROFARMA DISTRIB. PRODUTOS FARMACEUTICOS;ATIVO;20346;COMÉRCIO (ATACADO E VAREJO)
PROLAGOS S.A. - CONCESSIONÁRIA DE SERVIÇOS PÚBLICOS DE ÁGUA E ESGOTO;PROLAGOS S.A. - CONCESSIONÁRIA DE SERVIÇOS PÚBLICOS DE ÁGUA E ESGOTO;ATIVO;23469;SANEAMENTO, SERV. ÁGUA E GáS
PROMETAL PRODS METALURGICOS SA;PROMETAL PRODS METALURGICOS SA;CANCELADA;9768;METALURGIA E SIDERURGIA
PROMOAUTO PARTICIPAÇÕES SA;PROMOAUTO PARTICIPAÇÕES SA;CANCELADA;15970;EMP. ADM. PARTICIPAÇÕES
PROMON ENGENHARIA SA;PROMON ENGENHARIA SA;CANCELADA;9776;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
PROMON TECNOLOGIA SA;PROMON TECNOLOGIA SA;CANCELADA;13293;EMP. ADM. PARTICIPAÇÕES
PROMPT PARTICIPAÇÕES S.A.;PROMPT PARTICIPAÇÕES S.A.;ATIVO;18333;EMP. ADM. PART. - SEM SETOR PRINCIPAL
PRONOR PETROQUIMICA SA;PRONOR PETROQUIMICA SA;CANCELADA;9784;EMP. ADM. PART. - EMBALAGENS
PROPASA PRODS DE PAPEL SA;PROPASA PRODS DE PAPEL SA;CANCELADA;9792;GRÁFICAS E EDITORAS
PROSPEC SA PROSPECCAO AEROLEV;PROSPEC SA PROSPECCAO AEROLEV;CANCELADA;9814;SERVICOS DIVERSOS
PROVIDAX PARTICIPAÇÕES S/A;PROVIDAX PARTICIPAÇÕES S/A;CANCELADA;22314;EMP. ADM. PART. - SEM SETOR PRINCIPAL
PRUMO LOGÍSTICA S.A.;PRUMO LOGÍSTICA S.A.;CANCELADA;21482;SERVIçOS TRANSPORTE E LOGíSTICA
PST ELETRÔNICA SA;PST ELETRÔNICA SA;CANCELADA;21679;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
QGN PARTICIPAÇÕES SA;QGN PARTICIPAÇÕES SA;CANCELADA;9857;EMP. ADM. PART. - PETROQUíMICOS E BORRACHA
QUALICORP SA;QUALICORP SA;ATIVO;22497;EMP. ADM. PART. - SEM SETOR PRINCIPAL
QUALITY SOFTWARE S.A.;QUALITY SOFTWARE S.A.;ATIVO;23302;EMP. ADM. PART. - COMUNICAçãO E INFORMáTICA
QUATTOR PETROQUÍMICA S.A.;QUATTOR PETROQUÍMICA S.A.;CANCELADA;19267;PETROQUíMICOS E BORRACHA
QUEIROZ COMERCIO E PARTS SA;QUEIROZ COMERCIO E PARTS SA;CANCELADA;9830;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
QUIMBRASIL QUIM INDL BRAS SA;QUIMBRASIL QUIM INDL BRAS SA;CANCELADA;9849;PETROQUíMICOS E BORRACHA
QUIMIO PRODS QUIMICOS CI SA;QUIMIO PRODS QUIMICOS CI SA;CANCELADA;9873;PETROQUíMICOS E BORRACHA
QUIMISINOS SA;QUIMISINOS SA;CANCELADA;9881;PETROQUíMICOS E BORRACHA
RACHID ABDALLA SA IND E COM;RACHID ABDALLA SA IND E COM;CANCELADA;9903;ALIMENTOS
RACIMEC INFORMATICA BRAS SA;RACIMEC INFORMATICA BRAS SA;CANCELADA;13056;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
RACINVEST INVS IMOBILIARIOS SA;RACINVEST INVS IMOBILIARIOS SA;CANCELADA;13803;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
RACIONAL ENGENHARIA SA;RACIONAL ENGENHARIA SA;CANCELADA;9911;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
RAIA DROGASIL S.A.;RAIA DROGASIL S.A.;ATIVO;5258;COMÉRCIO (ATACADO E VAREJO)
RAIA SA;RAIA SA;CANCELADA;22306;EMP. ADM. PART. - FARMACêUTICO E HIGIENE
RAIL SUL SA;RAIL SUL SA;CANCELADA;15946;EMP. ADM. PART. - SEM SETOR PRINCIPAL
RAÍZEN ENERGIA S.A.;RAÍZEN ENERGIA S.A.;ATIVO;23230;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
RAN REF ACUCAR NORTE SA;RAN REF ACUCAR NORTE SA;CANCELADA;9970;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
RANDON NORDESTE SA VEICS IMPLS;RANDON NORDESTE SA VEICS IMPLS;CANCELADA;9938;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES;RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES;ATIVO;14109;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
RANDON SA VEICULOS IMPLEMENTOS;RANDON SA VEICULOS IMPLEMENTOS;CANCELADA;9946;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
RASIP AGRO PASTORIL SA;RASIP AGRO PASTORIL SA;CANCELADA;18279;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
RB CAPITAL COMPANHIA DE SECURITIZAÇÃO;RB CAPITAL COMPANHIA DE SECURITIZAÇÃO;ATIVO;18406;SECURITIZAÇÃO DE RECEBÍVEIS
RB CAPITAL SECURITIZADORA S.A.;RB CAPITAL SECURITIZADORA S.A.;CANCELADA;19860;SECURITIZAÇÃO DE RECEBÍVEIS
REAG SECURITIES - SECURITIZADORA DE CRÉDITOS S/A;REAG SECURITIES - SECURITIZADORA DE CRÉDITOS S/A;ATIVO;23760;SECURITIZAÇÃO DE RECEBÍVEIS
REAL AI PIC SECURITIZADORA DE CREDITOS IMOBILIARIOS S.A.;REAL AI PIC SECURITIZADORA DE CREDITOS IMOBILIARIOS S.A.;ATIVO;18430;SECURITIZAÇÃO DE RECEBÍVEIS
REAL CONSÓRCIO PART. S.A.(EM LIQUIDAÇÃO);REAL CONSÓRCIO PART. S.A.(EM LIQUIDAÇÃO);CANCELADA;18023;EMP. ADM. PARTICIPAÇÕES
REAL HOLDINGS PART. S.A. (EM LIQUIDAÇÃO);REAL HOLDINGS PART. S.A. (EM LIQUIDAÇÃO);CANCELADA;18007;SERVIçOS TRANSPORTE E LOGíSTICA
REALCAFE SOLUVEL DO BRASIL S/A;REALCAFE SOLUVEL DO BRASIL S/A;CANCELADA;9962;ALIMENTOS
REALPAR PARTICIPAÇÕES S.A-EM LIQUIDAÇÃO;REALPAR PARTICIPAÇÕES S.A-EM LIQUIDAÇÃO;CANCELADA;18015;EMP. ADM. PARTICIPAÇÕES
REASON S.A. COML. IMPORT. E EXPORTADORA;REASON S.A. COML. IMPORT. E EXPORTADORA;CANCELADA;16519;COMÉRCIO (ATACADO E VAREJO)
REC 844 SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A.;REC 844 SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A.;CANCELADA;19810;SECURITIZAÇÃO DE RECEBÍVEIS
REC SAO BERNARDO SECURITIZADORA DE CREDITOS IMOBILIARIOS S.A.;REC SAO BERNARDO SECURITIZADORA DE CREDITOS IMOBILIARIOS S.A.;CANCELADA;19356;SECURITIZAÇÃO DE RECEBÍVEIS
RECRUSUL SA;RECRUSUL SA;ATIVO;12572;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
REDE D'OR SÃO LUIZ S.A.;REDE D'OR SÃO LUIZ S.A.;ATIVO;24821;SERVIÇOS MÉDICOS
REDE ENERGIA PARTICIPAÇÕES S.A.;REDE ENERGIA PARTICIPAÇÕES S.A.;ATIVO;3190;ENERGIA ELÉTRICA
REDECARD S/A;REDECARD S/A;CANCELADA;20893;EMP. ADM. PART. - SEM SETOR PRINCIPAL
REDENTOR ENERGIA S/A;REDENTOR ENERGIA S/A;CANCELADA;22128;EMP. ADM. PART. - ENERGIA ELéTRICA
REDFACTOR FACTORING E FOMENTO COML S/A;REDFACTOR FACTORING E FOMENTO COML S/A;CANCELADA;19496;FACTORING
REFINARIA PET IPIRANGA SA;REFINARIA PET IPIRANGA SA;CANCELADA;9997;PETRÓLEO E GÁS
REFINARIA PET MANGUINHOS SA;REFINARIA PET MANGUINHOS SA;ATIVO;9989;PETRÓLEO E GÁS
REIT SECURITIZADORA DE RECEBIVEIS IMOBILIÁRIOS S/A;REIT SECURITIZADORA DE RECEBIVEIS IMOBILIÁRIOS S/A;ATIVO;22802;SECURITIZAÇÃO DE RECEBÍVEIS
REMA SA;REMA SA;CANCELADA;10022;TEXTIL E VESTUÁRIO
RENNER HERRMANN SA;RENNER HERRMANN SA;CANCELADA;10030;PETROQUíMICOS E BORRACHA
RENNER PARTICIPAÇÕES SA;RENNER PARTICIPAÇÕES SA;CANCELADA;17752;EMP. ADM. PART. - INTERMEDIAçãO FINANCEIRA
RENOVA COMP. SECURITIZ. DE CRÉDITOS FINANC. S.A.;RENOVA COMP. SECURITIZ. DE CRÉDITOS FINANC. S.A.;ATIVO;23744;SECURITIZAÇÃO DE RECEBÍVEIS
RENOVA ENERGIA S/A;RENOVA ENERGIA S/A;ATIVO;21636;ENERGIA ELÉTRICA
REP REAL ESTATE PARTNERS DESENV IMOB SA;REP REAL ESTATE PARTNERS DESENV IMOB SA;CANCELADA;21539;EMP. ADM. PART. - ARRENDAMENTO MERCANTIL
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS SA;RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS SA;ATIVO;21440;EMP. ADM. PART. - COMéRCIO (ATACADO E VAREJO)
RET PARTICIPAÇÕES S/A;RET PARTICIPAÇÕES S/A;CANCELADA;17337;EMP. ADM. PART. - TELECOMUNICAçõES
REXAM BEVERAGE CAN SOUTH AMERICA S.A.;REXAM BEVERAGE CAN SOUTH AMERICA S.A.;CANCELADA;16250;METALURGIA E SIDERURGIA
RG PRIVATE BROKERS INT. DE NEGÓCIOS IMOB. LTDA;RG PRIVATE BROKERS INT. DE NEGÓCIOS IMOB. LTDA;CANCELADA;22098;BEBIDAS E FUMO
RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;ATIVO;16527;ENERGIA ELÉTRICA
RHC SECURITIZADORA DE CRÉDITOS S.A.;RHC SECURITIZADORA DE CRÉDITOS S.A.;ATIVO;24635;SECURITIZAÇÃO DE RECEBÍVEIS
RHODIA AGRO SA;RHODIA AGRO SA;CANCELADA;4421;TEXTIL E VESTUÁRIO
RHODIA SA;RHODIA SA;CANCELADA;10065;TEXTIL E VESTUÁRIO
RHODIA-STER FIPACK SA;RHODIA-STER FIPACK SA;CANCELADA;6106;TEXTIL E VESTUÁRIO
RIB SA;RIB SA;CANCELADA;12009;EXTRAÇÃO MINERAL
RIBEIRAO PRETO WATER PARK SA;RIBEIRAO PRETO WATER PARK SA;CANCELADA;14583;EMP. ADM. PARTICIPAÇÕES
RICASA ROLANDIA IC E AGRI SA;RICASA ROLANDIA IC E AGRI SA;CANCELADA;10073;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
RIMA IMPRESSORA SA;RIMA IMPRESSORA SA;CANCELADA;14036;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
RIMET EMPREEND. INDS. E COMERCIAIS S/A;RIMET EMPREEND. INDS. E COMERCIAIS S/A;CANCELADA;12840;METALURGIA E SIDERURGIA
RIO GRANDE CIA CEL DO SUL;RIO GRANDE CIA CEL DO SUL;CANCELADA;10081;PAPEL E CELULOSE
RIO GRANDE ENERGIA SA;RIO GRANDE ENERGIA SA;CANCELADA;16535;ENERGIA ELÉTRICA
RIO MONSARÁS PARTICIPAÇÕES S/A;RIO MONSARÁS PARTICIPAÇÕES S/A;CANCELADA;22969;ENERGIA ELÉTRICA
RIO OTHON PALACE HOTEL SA;RIO OTHON PALACE HOTEL SA;CANCELADA;10090;HOSPEDAGEM E TURISMO
RIO PARANAPANEMA ENERGIA SA;RIO PARANAPANEMA ENERGIA SA;ATIVO;18368;ENERGIA ELÉTRICA
RIOEST ESTACIONAMENTOS SA;RIOEST ESTACIONAMENTOS SA;CANCELADA;18872;EMP. ADM. PART. - CONST. CIVIL, MAT. CONST. E DECORAçãO
RIOLOAN 2 COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS;RIOLOAN 2 COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS;ATIVO;24368;SECURITIZAÇÃO DE RECEBÍVEIS
RIPASA SA CELULOSE E PAPEL;RIPASA SA CELULOSE E PAPEL;CANCELADA;10103;PAPEL E CELULOSE
RIZZO SA IND ALIM;RIZZO SA IND ALIM;CANCELADA;10111;ALIMENTOS
RJ CAPITAL PARTNERS S.A.;RJ CAPITAL PARTNERS S.A.;CANCELADA;22330;EMP. ADM. PART. - SEM SETOR PRINCIPAL
RNI NEGÓCIOS IMOBILIÁRIOS S.A.;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;ATIVO;20451;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
RODONORTE - CONC. ROD. INTEGRADAS S.A.;RODONORTE - CONC. ROD. INTEGRADAS S.A.;ATIVO;19151;SERVIçOS TRANSPORTE E LOGíSTICA
RODOVIARIA SA IND IMPLS TRANSP;RODOVIARIA SA IND IMPLS TRANSP;CANCELADA;10120;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
RODOVIAS DAS COLINAS S.A.;RODOVIAS DAS COLINAS S.A.;ATIVO;23167;SERVIçOS TRANSPORTE E LOGíSTICA
ROMANO MASSIGNAM SA IND COM;ROMANO MASSIGNAM SA IND COM;CANCELADA;10138;
ROMAXIS SECURITIZADORA S.A.;ROMAXIS SECURITIZADORA S.A.;ATIVO;24686;SECURITIZAÇÃO DE RECEBÍVEIS
ROPASC PARTICIPAÇÕES S/A;ROPASC PARTICIPAÇÕES S/A;CANCELADA;22195;EMP. ADM. PART. - SEM SETOR PRINCIPAL
ROSAFER SA;ROSAFER SA;CANCELADA;10146;EMP. ADM. PARTICIPAÇÕES
ROSSI RESIDENCIAL SA;ROSSI RESIDENCIAL SA;ATIVO;16306;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
ROSSI SECURITIES SA;ROSSI SECURITIES SA;CANCELADA;15989;SEGURADORAS E CORRETORAS
RR CASA DE INVESTIMENTOS E PARTICIPAÇÕES S.A.;RR CASA DE INVESTIMENTOS E PARTICIPAÇÕES S.A.;CANCELADA;23787;EMP. ADM. PART. - ENERGIA ELéTRICA
RRSPE EMPRENDIMENTOS E PARTICIPAÇÕES S/A;RRSPE EMPRENDIMENTOS E PARTICIPAÇÕES S/A;CANCELADA;18856;EMP. ADM. PARTICIPAÇÕES
RUBERTEX COM E INDUSTRIA SA;RUBERTEX COM E INDUSTRIA SA;CANCELADA;10170;PETROQUíMICOS E BORRACHA
RUMO LOGÍSTICA OPERADORA MULTIMODAL S.A.;RUMO LOGÍSTICA OPERADORA MULTIMODAL S.A.;CANCELADA;23450;SERVIçOS TRANSPORTE E LOGíSTICA
RUMO MALHA NORTE S.A.;RUMO MALHA NORTE S.A.;ATIVO;15300;SERVIçOS TRANSPORTE E LOGíSTICA
RUMO MALHA OESTE S.A.;RUMO MALHA OESTE S.A.;ATIVO;17850;SERVIçOS TRANSPORTE E LOGíSTICA
RUMO MALHA PAULISTA S.A.;RUMO MALHA PAULISTA S.A.;ATIVO;17930;SERVIçOS TRANSPORTE E LOGíSTICA
RUMO MALHA SUL S.A.;RUMO MALHA SUL S.A.;ATIVO;15709;SERVIçOS TRANSPORTE E LOGíSTICA
RUMO S.A.;RUMO S.A.;ATIVO;17450;EMP. ADM. PART. - SERVIçOS TRANSPORTE E LOGíSTICA
RURAL LEASING SA ARREND MERC;RURAL LEASING SA ARREND MERC;CANCELADA;15296;ARRENDAMENTO MERCANTIL
S.A. (VIAÇÃO AÉREA RIO-GRANDENSE) - FALIDA;S.A. (VIAÇÃO AÉREA RIO-GRANDENSE) - FALIDA;CANCELADA;11681;SERVIçOS TRANSPORTE E LOGíSTICA
S.A.V.SA;S.A.V.SA;CANCELADA;15350;EMP. ADM. PARTICIPAÇÕES
S.F.S.P.V. EMPRS E PARTS SA;S.F.S.P.V. EMPRS E PARTS SA;CANCELADA;17809;EMP. ADM. PARTICIPAÇÕES
S.P.E.L. EMPREENDIMENTOS E PARTICIP. S.A;S.P.E.L. EMPREENDIMENTOS E PARTICIP. S.A;CANCELADA;17817;EMP. ADM. PART. - CONST. CIVIL, MAT. CONST. E DECORAçãO
SA BRASILEIRA IND OTICA SABIO;SA BRASILEIRA IND OTICA SABIO;CANCELADA;10189;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
SA CONFECCOES BRAS SABRA;SA CONFECCOES BRAS SABRA;CANCELADA;10197;TEXTIL E VESTUÁRIO
SA CORTUME CARIOCA;SA CORTUME CARIOCA;CANCELADA;10200;TEXTIL E VESTUÁRIO
SA ENGEFUSA;SA ENGEFUSA;CANCELADA;10219;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
SA FABRICA PRODS ALIMCS VIGOR;SA FABRICA PRODS ALIMCS VIGOR;CANCELADA;10227;ALIMENTOS
SA MARVIN;SA MARVIN;CANCELADA;12726;METALURGIA E SIDERURGIA
SA MINERACAO DA TRINDADE;SA MINERACAO DA TRINDADE;CANCELADA;10260;EXTRAÇÃO MINERAL
SA MINERACAO DE AMIANTO;SA MINERACAO DE AMIANTO;CANCELADA;13196;EXTRAÇÃO MINERAL
SA WHITE MARTINS;SA WHITE MARTINS;CANCELADA;10294;EMP. ADM. PARTICIPAÇÕES
SAAG INVESTIMENTOS S.A.;SAAG INVESTIMENTOS S.A.;CANCELADA;22756;EMP. ADM. PART. - TELECOMUNICAçõES
SABER SERVIÇOS EDUCACIONAIS S.A.;SABER SERVIÇOS EDUCACIONAIS S.A.;ATIVO;24490;EDUCAÇÃO
SADIA AVICOLA SA;SADIA AVICOLA SA;CANCELADA;10308;ALIMENTOS
SADIA CONCORDIA SA IND E COM;SADIA CONCORDIA SA IND E COM;CANCELADA;10316;ALIMENTOS
SADIA SA;SADIA SA;CANCELADA;10332;ALIMENTOS
SADIA SA;SADIA SA;CANCELADA;18848;ALIMENTOS
SADOKIN SA ELETRICA ELETRONICA;SADOKIN SA ELETRICA ELETRONICA;CANCELADA;7048;METALURGIA E SIDERURGIA
SAFRA COMPANHIA SECURITIZADORA DE CREDITOS IMOBILIARIOS;SAFRA COMPANHIA SECURITIZADORA DE CREDITOS IMOBILIARIOS;CANCELADA;20400;SECURITIZAÇÃO DE RECEBÍVEIS
SAFRA HOLDING SA;SAFRA HOLDING SA;CANCELADA;10847;EMP. ADM. PARTICIPAÇÕES
SAFRA LEASING SA ARRENDAMENTO  MERCANTIL;SAFRA LEASING SA ARRENDAMENTO  MERCANTIL;CANCELADA;10340;ARRENDAMENTO MERCANTIL
SAFRA LEASING SA ARRENDAMENTO  MERCANTIL;SAFRA LEASING SA ARRENDAMENTO  MERCANTIL;CANCELADA;14184;ARRENDAMENTO MERCANTIL
SAFRA LEASING SA ARRENDAMENTO  MERCANTIL;SAFRA LEASING SA ARRENDAMENTO  MERCANTIL;CANCELADA;19844;ARRENDAMENTO MERCANTIL
SAFRA SA ADM E PARTICIPACOES;SAFRA SA ADM E PARTICIPACOES;CANCELADA;10359;EMP. ADM. PARTICIPAÇÕES
SAHY PARTICIPAÇÕES SA;SAHY PARTICIPAÇÕES SA;CANCELADA;20826;EMP. ADM. PART. - SEM SETOR PRINCIPAL
SAINT-GOBAIN CANALIZAÇÃO S/A;SAINT-GOBAIN CANALIZAÇÃO S/A;CANCELADA;3689;METALURGIA E SIDERURGIA
SAINT-GOBAIN VIDROS SA;SAINT-GOBAIN VIDROS SA;CANCELADA;4189;EXTRAÇÃO MINERAL
SALGEMA INDS QUIMICAS SA;SALGEMA INDS QUIMICAS SA;CANCELADA;10367;PETROQUíMICOS E BORRACHA
SALUS INFRAESTRUTURA PORTUÁRIA S.A.;SALUS INFRAESTRUTURA PORTUÁRIA S.A.;ATIVO;23540;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
SAMCIL SA SERV ASSIS MED AO CI;SAMCIL SA SERV ASSIS MED AO CI;CANCELADA;10383;SERVICOS DIVERSOS
SANEAMENTO DE GOIAS SA;SANEAMENTO DE GOIAS SA;ATIVO;19186;SANEAMENTO, SERV. ÁGUA E GáS
SANESALTO SANEAMENTO SA;SANESALTO SANEAMENTO SA;ATIVO;19593;SANEAMENTO, SERV. ÁGUA E GáS
SANO SA INDUSTRIA E COMERCIO;SANO SA INDUSTRIA E COMERCIO;CANCELADA;10391;EXTRAÇÃO MINERAL
SANSUY SA IND DE PLASTICOS;SANSUY SA IND DE PLASTICOS;CANCELADA;10405;PETROQUíMICOS E BORRACHA
SANSUY SA INDÚSTRIA  DE PLASTICOS;SANSUY SA INDÚSTRIA  DE PLASTICOS;ATIVO;12696;PETROQUíMICOS E BORRACHA
SANTA CATARINA PART INVEST SA;SANTA CATARINA PART INVEST SA;ATIVO;15199;EMP. ADM. PART. - INTERMEDIAçãO FINANCEIRA
SANTACONSTANCIA TECELAGEM SA;SANTACONSTANCIA TECELAGEM SA;CANCELADA;10421;TEXTIL E VESTUÁRIO
SANTANA TEXTIL SA;SANTANA TEXTIL SA;CANCELADA;16039;TEXTIL E VESTUÁRIO
SANTANDER BRASIL ARRENDAMENTO MERCANTIL S.A.;SANTANDER BRASIL ARRENDAMENTO MERCANTIL S.A.;CANCELADA;14940;ARRENDAMENTO MERCANTIL
SANTANDER LEASING S.A. ARREND MERC;SANTANDER LEASING S.A. ARREND MERC;CANCELADA;1830;ARRENDAMENTO MERCANTIL
SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL;SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL;CANCELADA;12165;ARRENDAMENTO MERCANTIL
SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL;SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL;ATIVO;20559;ARRENDAMENTO MERCANTIL
SANTHER FAB.DE PAPEL SANTA THEREZINHA SA;SANTHER FAB.DE PAPEL SANTA THEREZINHA SA;CANCELADA;5819;PAPEL E CELULOSE
SANTHER FAB.DE PAPEL SANTA THEREZINHA SA;SANTHER FAB.DE PAPEL SANTA THEREZINHA SA;ATIVO;14923;PAPEL E CELULOSE
SANTISTA ALIMENTOS SA;SANTISTA ALIMENTOS SA;CANCELADA;8877;ALIMENTOS
SANTISTA TEXTIL SA;SANTISTA TEXTIL SA;CANCELADA;14516;TEXTIL E VESTUÁRIO
SANTO ANTONIO ENERGIA S.A.;SANTO ANTONIO ENERGIA S.A.;ATIVO;23388;ENERGIA ELÉTRICA
SANTOS BRASIL PARTICIPAÇÕES S.A.;SANTOS BRASIL PARTICIPAÇÕES S.A.;ATIVO;17892;EMP. ADM. PART. - SERVIçOS TRANSPORTE E LOGíSTICA
SANTOS BRASIL TECON S.A.;SANTOS BRASIL TECON S.A.;CANCELADA;20699;SERVIçOS TRANSPORTE E LOGíSTICA
SAO BRAZ SA IND COM ALIMENTOS;SAO BRAZ SA IND COM ALIMENTOS;CANCELADA;12513;ALIMENTOS
SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A;SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A;ATIVO;13781;EMP. ADM. PART. - SEM SETOR PRINCIPAL
SAO LUIZ PARTICIPACOES SA;SAO LUIZ PARTICIPACOES SA;CANCELADA;10448;EMP. ADM. PARTICIPAÇÕES
SÃO MARTINHO SA;SÃO MARTINHO SA;ATIVO;20516;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
SÃO PAULO TURISMO S. A.;SÃO PAULO TURISMO S. A.;ATIVO;9415;EMP. ADM. PART. - HOSPEDAGEM E TURISMO
SÃO PAULO WELLNESS S/A;SÃO PAULO WELLNESS S/A;CANCELADA;19160;EMP. ADM. PARTICIPAÇÕES
SARABOR SA REGENS ARTEFS BORR;SARABOR SA REGENS ARTEFS BORR;CANCELADA;10464;PETROQUíMICOS E BORRACHA
SARAIVA SA LIVREIROS EDITORES;SARAIVA SA LIVREIROS EDITORES;ATIVO;10472;GRÁFICAS E EDITORAS
SATMA SUL AMERICA PARTS SA;SATMA SUL AMERICA PARTS SA;CANCELADA;11029;SEGURADORAS E CORRETORAS
SAUIPE SA;SAUIPE SA;CANCELADA;15261;HOSPEDAGEM E TURISMO
SAVENA SA VEICS NAC COM REPR;SAVENA SA VEICS NAC COM REPR;CANCELADA;10499;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
SCCA - SECURITIZADORA DE CRÉDITOS DO AGRONEGÓCIO S.A.;SCCA - SECURITIZADORA DE CRÉDITOS DO AGRONEGÓCIO S.A.;CANCELADA;23400;SECURITIZAÇÃO DE RECEBÍVEIS
SCCI - SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A.;SCCI - SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A.;CANCELADA;23337;SECURITIZAÇÃO DE RECEBÍVEIS
SCGR EMPRS PARTICIPACOES SA;SCGR EMPRS PARTICIPACOES SA;CANCELADA;16063;EMP. ADM. PARTICIPAÇÕES
SCHULZ SA;SCHULZ SA;ATIVO;14664;METALURGIA E SIDERURGIA
SCOPUS TECNOLOGIA SA;SCOPUS TECNOLOGIA SA;CANCELADA;10510;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
SDV ADM-DE SHOPPING CENTERS SA;SDV ADM-DE SHOPPING CENTERS SA;CANCELADA;13790;COMÉRCIO (ATACADO E VAREJO)
SE SA COMERCIO E IMPORTACAO;SE SA COMERCIO E IMPORTACAO;CANCELADA;16128;EMP. ADM. PARTICIPAÇÕES
SEABRAS SERVIÇOS DE PETROLEO S/A;SEABRAS SERVIÇOS DE PETROLEO S/A;CANCELADA;22730;PETRÓLEO E GÁS
SEARA ALIMENTOS SA;SEARA ALIMENTOS SA;CANCELADA;18198;ALIMENTOS
SEARA INDUSTRIAL SA;SEARA INDUSTRIAL SA;CANCELADA;10529;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
SEARLE BRASIL SA;SEARLE BRASIL SA;CANCELADA;10537;FARMACêUTICO E HIGIENE
SEC TWO COMPANHIA SECURITIZADORA DE CRÉDITOS;SEC TWO COMPANHIA SECURITIZADORA DE CRÉDITOS;CANCELADA;23752;SECURITIZAÇÃO DE RECEBÍVEIS
SECURIT SA;SECURIT SA;CANCELADA;10545;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
SEHBE CIA DE PARTICIPACOES;SEHBE CIA DE PARTICIPACOES;CANCELADA;12874;EMP. ADM. PARTICIPAÇÕES
SEHBE SA HOTEIS E TURISMO;SEHBE SA HOTEIS E TURISMO;CANCELADA;10553;HOSPEDAGEM E TURISMO
