Criação da handle do arquivo XSV bem sucedida.
Definição do separador na handle do arquivo XSV bem sucedida.
Definição do arquivo de input da handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Transoformação da lista de colunas em conjunto de colunas bem sucedida.
DENOM_SOCIAL;DENOM_SOCIAL;SIT;CD_CVM;SETOR_ATIV
ARAUCÁRIA PARTICIPAÇÕES SA;ARAUCÁRIA PARTICIPAÇÕES SA;CANCELADA;18651;EMP. ADM. PART. - SEM SETOR PRINCIPAL
ARBRA SA;ARBRA SA;CANCELADA;14788;EMP. ADM. PARTICIPAÇÕES
ARCELOR BRASIL S.A.;ARCELOR BRASIL S.A.;CANCELADA;3964;METALURGIA E SIDERURGIA
ARCELORMITTAL INOX BRASIL S.A.;ARCELORMITTAL INOX BRASIL S.A.;CANCELADA;2658;METALURGIA E SIDERURGIA
ARCON SA IND ELETROMETALURGICA;ARCON SA IND ELETROMETALURGICA;CANCELADA;507;METALURGIA E SIDERURGIA
ARDOSIA PARTICIPACOES SA;ARDOSIA PARTICIPACOES SA;CANCELADA;16926;EMP. ADM. PARTICIPAÇÕES
AREZZO INDÚSTRIA E COMERCIO S/A;AREZZO INDÚSTRIA E COMERCIO S/A;ATIVO;22349;TEXTIL E VESTUÁRIO
ARGENTUM PARTICIPACOES SA;ARGENTUM PARTICIPACOES SA;CANCELADA;16888;EMP. ADM. PARTICIPAÇÕES
ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;ATIVO;24120;EMP. ADM. PART. - ENERGIA ELéTRICA
ARGO TRANSMISSÃO DE ENERGIA S.A.;ARGO TRANSMISSÃO DE ENERGIA S.A.;ATIVO;24210;ENERGIA ELÉTRICA
ARGOLIS HOLDINGS S.A.;ARGOLIS HOLDINGS S.A.;CANCELADA;17566;EMP. ADM. PART. - TELECOMUNICAçõES
